Bike index,x_zero,y_zero,x_rear_wheel_center,y_rear_wheel_center,x_BB,y_BB,x_front_wheel_center,y_front_wheel_center,x_head_tube_top,y_head_tube_top,x_rear_tube_connect_seat_tube,y_rear_tube_connect_seat_tube,x_top_tube_connect_seat_tube,y_top_tube_connect_seat_tube,x_top_tube_connect_head_tube,y_top_tube_connect_head_tube,x_down_tube_connect_head_tube,y_down_tube_connect_head_tube,x_stem_top,y_stem_top,x_front_fork,y_front_fork,x_saddle_top,y_saddle_top,x_seat_tube_top,y_seat_tube_top
1,78.37052444233487,143.94480643924877,78.37052444233487,143.94480643924877,119.8311725311482,150.51897278650824,176.77130284927776,143.94480643924877,155.45440333691016,86.79641346568431,103.54208152965306,98.8565764309449,102.98411145312032,97.08692143633945,158.27590465486588,96.02512843957618,160.20699351590906,102.34143549724489,167.1412633516367,85.36144749044243,171.40279207371887,133.69227082272891,102.46109623101388,78.79343934866246,102.46109623101388,95.42812907634988
2,82.71753766343436,142.81640475277885,82.71753766343436,142.81640475277885,116.5883769836663,141.39363740896897,172.51785187826192,142.81640475277885,151.6533368382904,91.34768558155275,109.65350951573595,120.66750328895066,108.88584128726565,118.373184798146,153.40446292369654,96.58124978087304,154.711474616374,100.48749597290721,155.37538905343467,90.10230433142314,168.49659255607634,132.50079491263807,108.33772620155764,110.81867441078639,108.33772620155764,116.73504148363797
3,75.49182600118434,148.55653507090838,75.49182600118434,148.55653507090838,116.12536027045596,148.94902261402837,180.43444421066295,148.55653507090838,157.6413709513504,89.38052530655963,103.05677420035953,103.373446792596,101.95936792956617,99.54633631306967,160.26548958831742,97.45673203514787,164.37612745854565,110.10797453563843,165.10692766032878,86.95481888846882,174.4269432299746,134.66253424424355,100.92547615542978,77.13058194502176,100.92547615542978,95.94072720657806
4,82.55187225128077,138.4499808355692,82.55187225128077,138.4499808355692,118.84049060285105,143.3560751245688,173.0822690620308,138.4499808355692,153.0143930815624,93.36023238625833,107.2177285073117,104.11828787578992,106.34682849889238,101.17817872063202,155.7154303403098,100.987726305723,157.11486713933886,104.93961391508506,161.84502654549433,93.43729615700673,167.89348799632918,130.79290275077693,106.02115484496147,87.02638757888332,106.02115484496147,100.0787228907327
5,76.85406355537779,140.755845151399,76.85406355537779,140.755845151399,119.32823236735841,143.11077041011882,178.72140982998775,140.755845151399,157.46551611372794,87.9093959831529,111.88146250083702,119.49263380706456,111.28220687564581,117.59203778092125,159.84993891892535,95.29171107417278,161.07769049883723,99.09290312645946,162.13412798404488,86.40147543587902,173.01705973817096,131.55975138357812,110.47648633365654,110.49190219825024,110.47648633365654,115.03661869779079
6,85.37160802821852,146.10348792640858,85.37160802821852,146.10348792640858,115.97382509327159,147.77155998466844,169.94086227226737,146.10348792640858,161.62988561674837,102.76656960964709,107.62199962299842,122.66504637438996,107.48909074552972,122.26550754866,162.42949094517144,107.59659385360496,163.2030315524902,112.26917388055878,166.47010166449434,101.96527703904812,169.11173890412923,140.1758360465513,106.2176202870568,115.30824694101014,106.2176202870568,118.44332633997232
7,72.69868069635248,147.91874281333844,72.69868069635248,147.91874281333844,114.20892234508158,150.84895913436145,182.49194265937825,147.91874281333844,154.97190696453447,84.85236759671689,100.09546627710884,107.32217665301513,99.29393095874265,104.85019152863356,158.09363902501286,93.21732035507314,161.14497452972844,101.39363941524553,162.87743952836405,80.91681413102656,177.28099872172436,139.81385728943005,98.01736909811679,80.53299733953048,98.01736909811679,100.91319479559834
8,73.73538966579362,144.4354158681487,73.73538966579362,144.4354158681487,115.27546654896118,148.65465695668837,182.02778544508996,144.4354158681487,156.2210702789019,85.28954869164401,102.7952816548375,107.83381151657765,101.80117499573412,104.58223514759686,158.36989324715427,91.19339127532291,160.31914950345234,96.54892882423249,166.77861586597123,83.04547310198204,177.33114967751726,137.86928349004714,100.35767378058605,78.14588656256356,100.35767378058605,99.86075541824479
9,77.01851086637492,141.73706400919892,77.01851086637492,141.73706400919892,120.88193654198227,148.94902261402834,179.8139411414457,141.73706400919892,155.79639687372284,86.33115112321164,108.11142445909178,104.41295432091121,107.45514425065647,102.12423324280697,158.29238578288727,94.49516298245953,161.0612187914352,103.55160767861392,166.39149901472945,84.27167189369708,171.63999405955818,132.06153390959997,106.69898417557705,81.36351186115056,106.69898417557705,99.48718967511923
11,76.13874491075316,142.47297815254888,76.13874491075316,142.47297815254888,122.1494678302987,152.77577615944807,180.40443141788012,142.47297815254888,159.70806996182208,82.12956581512967,109.97278721366554,107.33178543063401,108.73144718807266,102.69904138565258,161.81181463677422,89.98084782820348,163.04144390740865,94.5698867406851,162.86164658274492,78.37127954762376,173.9513426165019,132.772313031769,107.87702104724393,78.52502788996915,107.87702104724393,99.51027961676473
13,78.6289769811012,143.65044078190877,78.6289769811012,143.65044078190877,120.22366007426818,150.22460712916825,177.16379039239771,143.65044078190877,156.02758741407388,87.91700537703777,104.24822295194592,99.55699378653064,103.54035517984514,97.31192403977536,158.79590431368769,96.97176195693366,160.9382628127957,103.97910086347285,167.71444742880033,86.48203940179583,170.57130678230862,133.62583767720434,102.85358377413388,78.49832714456768,102.85358377413388,95.13376341900988
14,78.26090631910797,145.61287849750863,78.26090631910797,145.61287849750863,117.99642778164133,152.67765427366808,178.2825144048686,145.61287849750863,155.3016389681498,89.8368471914806,102.76153721132457,101.24552565890983,101.77718175817124,97.922397341345,157.89466056839802,98.06086102124354,161.12531043100245,108.30717333373505,166.78146247126134,89.73666428950769,171.71687259822602,133.28893621227058,100.99687384183123,76.90089696413065,100.99687384183123,95.28812196358105
15,81.14050183330129,138.00843234955923,81.14050183330129,138.00843234955923,119.00528876678132,142.91452663855884,174.92495147279894,138.00843234955923,155.8144602765974,98.75440982696426,107.07453639352714,102.63698163750652,106.23539149554722,99.80407593857015,157.81235781720517,104.90330619665559,158.54873130452904,107.16963075580466,162.67880815708122,98.99411813700982,168.30011939390954,129.73148814333356,105.62859058463567,86.11551553264843,105.62859058463567,97.75555039455594
16,73.58806290771057,146.29973169796858,73.58806290771057,146.29973169796858,115.29607613694598,148.26216941356844,182.40163382188274,146.29973169796858,153.31003648768674,85.8658007151511,102.63441376214672,109.29357956937743,102.17780511499342,107.88828265310183,156.41637329414158,93.55425410709056,158.9145912548883,99.73756053870326,160.63124218782787,80.9275851168506,175.26225357982366,135.0622872341366,100.74183762840111,77.95493944570963,100.74183762840111,103.4688291596978
